,story,story_uid,sound_id,kind,start,sound,onset,duration,orig_time,phoneme,sequence_id,condition,word_index,speech_rate,voice,pronounced,word,is_word_onset
0,lw1,0.0,0.0,word,0.0,stimuli/audio/lw1_0.wav,23.506,0.3,2000-01-01 00:00:00+00:00,,0.0,sentence,0.0,205.0,Allison,1.0,Tara,True
1,lw1,0.0,0.0,phoneme,0.24,stimuli/audio/lw1_0.wav,23.746,0.06,2000-01-01 00:00:00+00:00,ah_E,0.0,sentence,0.0,205.0,Allison,1.0,,False
2,lw1,0.0,0.0,word,0.31,stimuli/audio/lw1_0.wav,23.816,0.24,2000-01-01 00:00:00+00:00,,0.0,sentence,1.0,205.0,Allison,1.0,stood,True
3,lw1,0.0,0.0,phoneme,0.49,stimuli/audio/lw1_0.wav,23.996,0.06,2000-01-01 00:00:00+00:00,d_E,0.0,sentence,1.0,205.0,Allison,1.0,,False
4,lw1,0.0,0.0,word,0.55,stimuli/audio/lw1_0.wav,24.056,0.37,2000-01-01 00:00:00+00:00,,0.0,sentence,2.0,205.0,Allison,1.0,stock,True
5,lw1,0.0,0.0,phoneme,0.79,stimuli/audio/lw1_0.wav,24.296,0.13,2000-01-01 00:00:00+00:00,k_E,0.0,sentence,2.0,205.0,Allison,1.0,,False
6,lw1,0.0,0.0,word,1.08,stimuli/audio/lw1_0.wav,24.586,0.3999999999999999,2000-01-01 00:00:00+00:00,,0.0,sentence,3.0,205.0,Allison,1.0,still,True
7,lw1,0.0,0.0,phoneme,1.34,stimuli/audio/lw1_0.wav,24.846,0.1399999999999999,2000-01-01 00:00:00+00:00,l_E,0.0,sentence,3.0,205.0,Allison,1.0,,False
8,lw1,0.0,0.0,word,1.63,stimuli/audio/lw1_0.wav,25.136,0.4100000000000001,2000-01-01 00:00:00+00:00,,0.0,sentence,4.0,205.0,Allison,1.0,waiting,True
9,lw1,0.0,0.0,phoneme,1.96,stimuli/audio/lw1_0.wav,25.466,0.08,2000-01-01 00:00:00+00:00,ng_E,0.0,sentence,4.0,205.0,Allison,1.0,,False
10,lw1,0.0,0.0,word,2.04,stimuli/audio/lw1_0.wav,25.546,0.1299999999999999,2000-01-01 00:00:00+00:00,,0.0,sentence,5.0,205.0,Allison,1.0,for,True
11,lw1,0.0,0.0,phoneme,2.09,stimuli/audio/lw1_0.wav,25.596,0.08,2000-01-01 00:00:00+00:00,er_E,0.0,sentence,5.0,205.0,Allison,1.0,,False
12,lw1,0.0,0.0,word,2.17,stimuli/audio/lw1_0.wav,25.676,0.0899999999999998,2000-01-01 00:00:00+00:00,,0.0,sentence,6.0,205.0,Allison,1.0,the,True
13,lw1,0.0,0.0,phoneme,2.2,stimuli/audio/lw1_0.wav,25.706,0.0599999999999996,2000-01-01 00:00:00+00:00,ah_E,0.0,sentence,6.0,205.0,Allison,1.0,,False
14,lw1,0.0,0.0,word,2.26,stimuli/audio/lw1_0.wav,25.766,0.27,2000-01-01 00:00:00+00:00,,0.0,sentence,7.0,205.0,Allison,1.0,first,True
15,lw1,0.0,0.0,phoneme,2.51,stimuli/audio/lw1_0.wav,26.016,0.02,2000-01-01 00:00:00+00:00,t_E,0.0,sentence,7.0,205.0,Allison,1.0,,False
16,lw1,0.0,0.0,word,2.54,stimuli/audio/lw1_0.wav,26.046,0.31,2000-01-01 00:00:00+00:00,,0.0,sentence,8.0,205.0,Allison,1.0,tiny,True
17,lw1,0.0,0.0,phoneme,2.79,stimuli/audio/lw1_0.wav,26.296,0.06,2000-01-01 00:00:00+00:00,iy_E,0.0,sentence,8.0,205.0,Allison,1.0,,False
18,lw1,0.0,0.0,word,2.85,stimuli/audio/lw1_0.wav,26.356,0.2399999999999997,2000-01-01 00:00:00+00:00,,0.0,sentence,9.0,205.0,Allison,1.0,gleam,True
19,lw1,0.0,0.0,phoneme,3.03,stimuli/audio/lw1_0.wav,26.536,0.06,2000-01-01 00:00:00+00:00,m_E,0.0,sentence,9.0,205.0,Allison,1.0,,False
20,lw1,0.0,0.0,word,3.1,stimuli/audio/lw1_0.wav,26.606,0.1799999999999997,2000-01-01 00:00:00+00:00,,0.0,sentence,10.0,205.0,Allison,1.0,from,True
21,lw1,0.0,0.0,phoneme,3.21,stimuli/audio/lw1_0.wav,26.716,0.0699999999999998,2000-01-01 00:00:00+00:00,m_E,0.0,sentence,10.0,205.0,Allison,1.0,,False
