,story,story_uid,sound_id,kind,start,sound,onset,duration,orig_time,phoneme,sequence_id,condition,word_index,speech_rate,voice,pronounced,word,word_onset
2,lw1,0.0,0.0,word,0.0,stimuli/audio/lw1_0.wav,23.506,0.3,2000-01-01 00:00:00+00:00,,0.0,sentence,0.0,205.0,Allison,1.0,Tara,True
7,lw1,0.0,0.0,word,0.31,stimuli/audio/lw1_0.wav,23.816,0.24,2000-01-01 00:00:00+00:00,,0.0,sentence,1.0,205.0,Allison,1.0,stood,True
12,lw1,0.0,0.0,word,0.55,stimuli/audio/lw1_0.wav,24.056,0.37,2000-01-01 00:00:00+00:00,,0.0,sentence,2.0,205.0,Allison,1.0,stock,True
17,lw1,0.0,0.0,word,1.08,stimuli/audio/lw1_0.wav,24.586,0.3999999999999999,2000-01-01 00:00:00+00:00,,0.0,sentence,3.0,205.0,Allison,1.0,still,True
22,lw1,0.0,0.0,word,1.63,stimuli/audio/lw1_0.wav,25.136,0.4100000000000001,2000-01-01 00:00:00+00:00,,0.0,sentence,4.0,205.0,Allison,1.0,waiting,True
28,lw1,0.0,0.0,word,2.04,stimuli/audio/lw1_0.wav,25.546,0.1299999999999999,2000-01-01 00:00:00+00:00,,0.0,sentence,5.0,205.0,Allison,1.0,for,True
31,lw1,0.0,0.0,word,2.17,stimuli/audio/lw1_0.wav,25.676,0.0899999999999998,2000-01-01 00:00:00+00:00,,0.0,sentence,6.0,205.0,Allison,1.0,the,True
34,lw1,0.0,0.0,word,2.26,stimuli/audio/lw1_0.wav,25.766,0.27,2000-01-01 00:00:00+00:00,,0.0,sentence,7.0,205.0,Allison,1.0,first,True
39,lw1,0.0,0.0,word,2.54,stimuli/audio/lw1_0.wav,26.046,0.31,2000-01-01 00:00:00+00:00,,0.0,sentence,8.0,205.0,Allison,1.0,tiny,True
44,lw1,0.0,0.0,word,2.85,stimuli/audio/lw1_0.wav,26.356,0.2399999999999997,2000-01-01 00:00:00+00:00,,0.0,sentence,9.0,205.0,Allison,1.0,gleam,True
49,lw1,0.0,0.0,word,3.1,stimuli/audio/lw1_0.wav,26.606,0.1799999999999997,2000-01-01 00:00:00+00:00,,0.0,sentence,10.0,205.0,Allison,1.0,from,True
53,lw1,0.0,0.0,word,3.28,stimuli/audio/lw1_0.wav,26.786,0.0700000000000002,2000-01-01 00:00:00+00:00,,0.0,sentence,11.0,205.0,Allison,1.0,the,True
56,lw1,0.0,0.0,word,3.35,stimuli/audio/lw1_0.wav,26.856,0.29,2000-01-01 00:00:00+00:00,,0.0,sentence,12.0,205.0,Allison,1.0,scout,True
61,lw1,0.0,0.0,word,3.64,stimuli/audio/lw1_0.wav,27.146,0.29,2000-01-01 00:00:00+00:00,,0.0,sentence,13.0,205.0,Allison,1.0,craft,True
67,lw1,0.0,0.0,word,3.94,stimuli/audio/lw1_0.wav,27.446,0.1499999999999999,2000-01-01 00:00:00+00:00,,0.0,sentence,14.0,205.0,Allison,1.0,to,True
70,lw1,0.0,0.0,word,4.09,stimuli/audio/lw1_0.wav,27.596,0.2800000000000002,2000-01-01 00:00:00+00:00,,0.0,sentence,15.0,205.0,Allison,1.0,appear,True
75,lw1,0.0,0.0,word,4.37,stimuli/audio/lw1_0.wav,27.876,0.08,2000-01-01 00:00:00+00:00,,0.0,sentence,16.0,205.0,Allison,1.0,in,True
78,lw1,0.0,0.0,word,4.45,stimuli/audio/lw1_0.wav,27.956,0.0899999999999998,2000-01-01 00:00:00+00:00,,0.0,sentence,17.0,205.0,Allison,1.0,the,True
81,lw1,0.0,0.0,word,4.54,stimuli/audio/lw1_0.wav,28.046,0.4199999999999999,2000-01-01 00:00:00+00:00,,0.0,sentence,18.0,205.0,Allison,1.0,darkness,True
89,lw1,0.0,0.0,word,4.96,stimuli/audio/lw1_0.wav,28.466,0.1399999999999996,2000-01-01 00:00:00+00:00,,0.0,sentence,19.0,205.0,Allison,1.0,of,True
92,lw1,0.0,0.0,word,5.1,stimuli/audio/lw1_0.wav,28.606,0.0900000000000007,2000-01-01 00:00:00+00:00,,0.0,sentence,20.0,205.0,Allison,1.0,the,True
95,lw1,0.0,0.0,word,6.25,stimuli/audio/lw1_0.wav,29.756,0.1399999999999996,2000-01-01 00:00:00+00:00,,1.0,sentence,0.0,205.0,Allison,1.0,The,True
98,lw1,0.0,0.0,word,6.39,stimuli/audio/lw1_0.wav,29.896,0.3900000000000005,2000-01-01 00:00:00+00:00,,1.0,sentence,1.0,205.0,Allison,1.0,gentle,True
105,lw1,0.0,0.0,word,6.78,stimuli/audio/lw1_0.wav,30.286,0.4199999999999999,2000-01-01 00:00:00+00:00,,1.0,sentence,2.0,205.0,Allison,1.0,constant,True
